algorithm,topology,nodes,edges,execution_time,messages_sent,messages_received,total_messages,mst_weight,status
ghs,line,4,3,0.001786,20,18,38,24.0,success
mk_mst,line,4,3,0.00121402,27,27,54,24.0,success
controlled_ghs,line,4,3,0.000551,34,42,76,0.0,success
ghs,ring,4,4,0.003015,36,34,70,27.0,success
mk_mst,ring,4,4,0.000720007,27,27,54,30.0,success
controlled_ghs,ring,4,4,0.000617,34,42,76,0.0,success
ghs,star,4,3,0.001175,18,16,34,32.0,success
mk_mst,star,4,3,0.00095179,27,27,54,32.0,success
controlled_ghs,star,4,3,0.000545,34,42,76,0.0,success
ghs,tree,4,3,0.002511,20,18,38,31.0,success
mk_mst,tree,4,3,0.00129203,27,27,54,31.0,success
controlled_ghs,tree,4,3,0.000519,34,42,76,0.0,success
ghs,line,6,5,0.003803,47,45,92,55.0,success
mk_mst,line,6,5,0.00284121,75,75,150,55.0,success
controlled_ghs,line,6,5,0.000998,74,90,164,0.0,success
ghs,ring,6,6,0.002927,34,32,66,49.0,success
mk_mst,ring,6,6,0.00178374,75,75,150,58.0,success
controlled_ghs,ring,6,6,0.000694,54,70,124,0.0,success
ghs,star,6,5,0.000964,26,24,50,38.0,success
mk_mst,star,6,5,0.00214505,75,75,150,38.0,success
controlled_ghs,star,6,5,0.000778,54,70,124,0.0,success
ghs,tree,6,5,0.003369,46,44,90,37.0,success
mk_mst,tree,6,5,0.00183328,75,75,150,37.0,success
controlled_ghs,tree,6,5,0.000821,74,90,164,0.0,success
ghs,line,8,7,0.003153,55,51,106,49.0,success
mk_mst,line,8,7,0.00343107,147,147,294,65.0,success
controlled_ghs,line,8,7,0.001524,102,126,228,0.0,success
ghs,ring,8,8,0.004964,73,71,144,51.0,success
mk_mst,ring,8,8,0.00266822,147,147,294,51.0,success
controlled_ghs,ring,8,8,0.001395,102,126,228,0.0,success
ghs,star,8,7,0.001679,34,32,66,70.0,success
mk_mst,star,8,7,0.00315101,147,147,294,70.0,success
controlled_ghs,star,8,7,0.001024,74,98,172,0.0,success
ghs,tree,8,7,0.004076,60,58,118,54.0,success
mk_mst,tree,8,7,0.0026181,147,147,294,54.0,success
controlled_ghs,tree,8,7,0.000956,102,126,228,0.0,success
ghs,line,10,9,0.006631,84,82,166,103.0,success
mk_mst,line,10,9,0.00521389,243,243,486,103.0,success
controlled_ghs,line,10,9,0.001601,130,162,292,0.0,success
ghs,ring,10,10,0.0,0,0,0,0.0,timeout
mk_mst,ring,10,10,0.00432171,243,243,486,84.0,success
controlled_ghs,ring,10,10,0.001555,130,162,292,0.0,success
ghs,star,10,9,0.001344,42,40,82,69.0,success
mk_mst,star,10,9,0.00423304,243,243,486,69.0,success
controlled_ghs,star,10,9,0.001242,94,126,220,0.0,success
ghs,tree,10,9,0.003578,80,78,158,102.0,success
mk_mst,tree,10,9,0.00373033,243,243,486,102.0,success
controlled_ghs,tree,10,9,0.000989,130,162,292,0.0,success
