topology,algorithm,runs,exec_mean,exec_median,exec_std,msgs_mean,msgs_median,msgs_std
line,controlled_ghs,4,0.0011684999999999998,0.001261,0.0004911934445816638,190.0,196.0,92.23159256278007
line,ghs,4,0.00384325,0.003478,0.0020397624657461136,100.5,99.0,52.5959440768329
line,mk_mst,4,0.0031750475,0.00313614,0.0016512119379892857,246.0,222.0,187.95744199153168
ring,controlled_ghs,4,0.00106525,0.0010444999999999999,0.0004786594997142192,180.0,176.0,97.97958971132714
ring,ghs,4,0.0027264999999999998,0.0029709999999999997,0.002046431121082098,70.0,68.0,58.855755878248644
ring,mk_mst,4,0.00237341925,0.00222598,0.001523618282802132,246.0,222.0,187.95744199153168
star,controlled_ghs,4,0.00089725,0.000901,0.00030178289657743475,148.0,148.0,61.96773353931867
star,ghs,4,0.0012905,0.0012595,0.00030206897667034037,58.0,58.0,20.65591117977289
star,mk_mst,4,0.0026202225,0.00264803,0.0014014720320999394,246.0,222.0,187.95744199153168
tree,controlled_ghs,4,0.00082125,0.0008885,0.00021420609235033443,190.0,196.0,92.23159256278007
tree,ghs,4,0.0033835,0.0034735,0.0006529045361561928,101.0,104.0,50.42486159293515
tree,mk_mst,4,0.002368435,0.00222569,0.0010586357890070913,246.0,222.0,187.95744199153168
